Name,Price,Rating,No of reviews,Product URL,ASIN,Product Description,Description,Manufacturer
"AmazonBasics Vacuum Compression Storage Bags with Hand Pump - Large, 5-Pack",689.,4.5 out of 5 stars,"10,407 ratings",https://www.amazon.in/AmazonBasics-Vacuum-Compression-Storage-Bags/dp/B07RSCPH4N/ref=sxin_25_trfobq2av2_7_B07RSCPH4N?content-id=amzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb%3Aamzn1.sym.c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07RSCPH4N&pd_rd_r=1fa39e52-b75b-49cb-b2f6-f84589447318&pd_rd_w=VKUQX&pd_rd_wg=xWA2A&pf_rd_p=c1eb4b2a-b703-404b-a097-61cb8a5ee3cb&pf_rd_r=SGKZXRAAW92E9B0PCHPR&qid=1690282978&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-973fd8bd-28ce-479e-8be4-fbaf1193947a,NA,NA,NA,NA
NA,NA,NA,NA,https://aax-eu.amazon.in/x/c/RFpdF76kh5xyZ4TbAwW-OaoAAAGJjLdrbAMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICAmh1VP/https://www.amazon.in/uppercase-Professional-resistant-sustainable-Anti-theft/dp/B0BR179L65/ref=sxin_26_sbv_search_btf?content-id=amzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac%3Aamzn1.sym.ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0BR179L65&pd_rd_r=1fa39e52-b75b-49cb-b2f6-f84589447318&pd_rd_w=iBXQU&pd_rd_wg=xWA2A&pf_rd_p=ea7f11f8-e26c-4b10-84ad-15aa33ea30ac&pf_rd_r=SGKZXRAAW92E9B0PCHPR&qid=1690282978&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-9131241a-a358-4619-a7b8-0f5a65d91d81,NA,NA,NA,NA
NA,NA,NA,NA,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1690282978&sprefix=ba%2Caps%2C283&sr=8-10,NA,NA,NA,NA
NA,NA,NA,NA,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1690282978&sprefix=ba%2Caps%2C283&sr=8-11,NA,NA,NA,NA
NA,NA,NA,NA,https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1690282978&sprefix=ba%2Caps%2C283&sr=8-12,NA,NA,NA,NA
NA,NA,NA,NA,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1690282978&sprefix=ba%2Caps%2C283&sr=8-13,NA,NA,NA,NA
NA,NA,NA,NA,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1690282978&sprefix=ba%2Caps%2C283&sr=8-14,NA,NA,NA,NA
NA,NA,NA,NA,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1690282978&sprefix=ba%2Caps%2C283&sr=8-15,NA,NA,NA,NA
NA,NA,NA,NA,https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1690282978&sprefix=ba%2Caps%2C283&sr=8-16,NA,NA,NA,NA
NA,NA,NA,NA,https://aax-eu.amazon.in/x/c/RO33Gtms9-XIqGSxbDf0xrQAAAGJjLdrgwMAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCDgpNB/https://www.amazon.in/uppercase-Professional-resistant-sustainable-Anti-theft/dp/B0BR179L65/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.71f3e964-c052-406d-85d3-3536a795e6d0%3Aamzn1.sym.71f3e964-c052-406d-85d3-3536a795e6d0&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0BR179L65&pd_rd_r=1c359a76-e838-416b-a72a-d54fb759d0cf&pd_rd_w=iep4z&pd_rd_wg=Wn1P8&pf_rd_p=71f3e964-c052-406d-85d3-3536a795e6d0&pf_rd_r=SGKZXRAAW92E9B0PCHPR&qid=1690282978&sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-f1821008-9dea-4812-b2b6-4a6e4a4f2d55,NA,NA,NA,NA
NA,NA,NA,NA,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1690283009&sprefix=ba%2Caps%2C283&sr=8-1,NA,NA,NA,NA
Skybags Brat Black 46 Cms Casual Backpack,669,4.1 out of 5 stars,"5,198 ratings",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1690283009&sprefix=ba%2Caps%2C283&sr=8-2,NA,NA,NA,NA
NA,NA,NA,NA,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1690283009&sprefix=ba%2Caps%2C283&sr=8-3,NA,NA,NA,NA
COSMUS Tuxer 38L Large Laptop Backpack With 3 Compartments,"1,692",4.1 out of 5 stars,303 ratings,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1Mzc2Njk3ODg0MTkzNjk3OjE2OTAyODMwMDk6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDkwNjQ0OTk5NDA2OjowOjo&url=%2FCosmus-Tuxer-Laptop-Backpack-Compartments%2Fdp%2FB09HCK9MLX%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09HCK9MLX%26pd_rd_r%3D0fe6a69e-faf8-4443-936c-0e2adfd17860%26pd_rd_w%3DonPpK%26pd_rd_wg%3Dfm4Ac%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3DV2MW76N4DV9GBTEY9GJW%26qid%3D1690283009%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,NA,NA,NA,NA
